"Date","Price","Open","High","Low","Vol.","Change %"
"2024/04/13","71,209,584","74,001,000","76,000,096","68,289,496","0.01K","-3.77%"
"2024/04/12","74,001,000","77,000,096","78,946,024","72,002,000","0.01K","-3.89%"
"2024/04/11","77,000,096","77,630,000","81,400,976","75,352,096","0.01K","-0.81%"
"2024/04/10","77,630,000","75,994,248","78,233,544","74,320,168","0.01K","2.15%"
"2024/04/09","75,994,248","82,322,000","82,631,624","72,723,000","0.01K","-7.69%"
"2024/04/08","82,322,000","85,525,712","89,994,800","81,819,728","0.01K","-3.75%"
"2024/04/07","85,525,712","85,001,072","87,000,000","85,000,000","0.01K","0.62%"
"2024/04/06","85,001,072","83,515,008","86,000,000","82,109,368","0.01K","1.78%"
"2024/04/05","83,515,008","84,701,376","86,300,312","81,000,128","0.01K","-1.40%"
"2024/04/04","84,701,376","82,200,832","93,050,000","80,232,048","0.01K","3.04%"
"2024/04/03","82,200,832","82,297,976","83,400,000","80,127,600","0.01K","-0.12%"
"2024/04/02","82,297,976","86,500,544","90,000,000","80,041,000","0.01K","-4.86%"
"2024/04/01","86,500,544","89,513,952","90,398,480","83,603,336","0.01K","-3.37%"
"2024/03/31","89,513,952","85,400,048","90,519,136","85,200,000","0.01K","4.82%"
"2024/03/30","85,400,048","84,088,616","87,987,520","83,400,000","0.01K","1.56%"
"2024/03/29","84,088,616","90,100,000","90,442,224","82,275,000","0.01K","-6.67%"
"2024/03/28","90,100,000","90,965,664","93,199,992","88,914,936","0.01K","-0.95%"
"2024/03/27","90,965,664","92,052,520","96,500,000","89,500,000","0.01K","-1.18%"
"2024/03/26","92,052,520","91,400,000","98,000,000","88,772,000","0.01K","0.71%"
"2024/03/25","91,400,000","95,800,776","98,807,816","88,570,000","0.01K","-4.59%"
"2024/03/24","95,800,776","90,833,120","97,499,984","90,621,744","0.01K","5.47%"
"2024/03/23","90,833,120","91,593,296","94,999,968","90,833,120","0.01K","-0.83%"
"2024/03/22","91,593,296","94,700,048","98,879,968","90,152,560","0.01K","-3.28%"
"2024/03/21","94,700,048","100,140,016","101,491,592","93,979,728","0.01K","-5.43%"
"2024/03/20","100,140,016","92,000,008","104,992,552","85,000,000","0.02K","8.85%"
"2024/03/19","92,000,008","104,260,000","104,802,552","90,750,648","0.01K","-11.76%"
"2024/03/18","104,260,000","106,913,664","108,816,176","101,611,000","0.01K","-2.48%"
"2024/03/17","106,913,664","102,526,040","108,499,208","101,006,008","0.01K","4.28%"
"2024/03/16","102,526,040","110,194,008","110,443,368","102,526,040","0.01K","-6.96%"
"2024/03/15","110,194,008","112,500,128","114,541,448","103,503,256","0.02K","-2.05%"
"2024/03/14","112,500,128","116,200,000","117,499,680","110,521,240","0.01K","-3.18%"
"2024/03/13","116,200,000","113,387,216","117,748,600","113,260,000","0.01K","2.48%"
"2024/03/12","113,387,216","115,200,616","116,498,520","112,075,000","0.01K","-1.57%"
"2024/03/11","115,200,616","110,205,520","116,676,792","108,631,872","0.01K","4.53%"
"2024/03/10","110,205,520","109,269,632","112,266,608","108,600,560","0.01K","0.86%"
"2024/03/09","109,269,632","107,599,048","109,494,888","107,599,048","0.01K","1.55%"
"2024/03/08","107,599,048","106,500,000","111,000,000","105,699,072","0.01K","1.03%"
"2024/03/07","106,500,000","106,255,936","108,198,744","101,500,896","0.01K","0.23%"
"2024/03/06","106,255,936","101,701,984","109,100,000","100,589,216","0.02K","4.48%"
"2024/03/05","101,701,984","107,950,720","109,998,760","98,700,000","0.02K","-5.79%"
"2024/03/04","107,950,720","97,952,688","108,600,000","97,304,664","0.02K","10.21%"
"2024/03/03","97,952,688","95,200,000","97,954,576","94,870,104","0.01K","2.89%"
"2024/03/02","95,200,000","95,401,280","96,998,800","94,000,000","0.01K","-0.21%"
"2024/03/01","95,401,280","91,740,088","97,149,320","91,600,216","0.02K","3.99%"
